ESPN Link,Moment Inning,Moment Ball/Over
https://www.espncricinfo.com/series/icc-under-19-world-cup-2021-22-1289790/west-indies-under-19s-vs-australia-under-19s-1st-match-group-d-1289793/full-scorecard,1,19.4
https://www.espncricinfo.com/series/icc-world-twenty20-2010-412671/west-indies-vs-sri-lanka-16th-match-group-f-412692/full-scorecard,2,16.2
https://www.espncricinfo.com/series/icc-cricket-world-cup-2010-11-381449/ireland-vs-south-africa-34th-match-group-b-433591/full-scorecard,1,27.2
https://www.espncricinfo.com/series/icc-under-19-world-cup-2013-14-700273/south-africa-under-19s-vs-west-indies-under-19s-4th-match-group-c-700339/full-scorecard,1,32.6
https://www.espncricinfo.com/series/icc-cricket-world-cup-2010-11-381449/england-vs-west-indies-36th-match-group-b-433593/full-scorecard,2,14.6
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-warm-up-matches-2021-22-1282497/pakistan-vs-west-indies-1282510/full-scorecard,2,11.5
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/new-zealand-vs-pakistan-19th-match-group-2-1273730/full-scorecard,1,8.2
https://www.espncricinfo.com/series/icc-under-19-world-cup-2021-22-1289790/afghanistan-under-19s-vs-pakistan-under-19s-18th-match-group-c-1289810/full-scorecard,2,41.3
https://www.espncricinfo.com/series/under-19-world-cup-2019-20-1204639/south-africa-under-19s-vs-west-indies-under-19s-5th-place-play-off-1204711/full-scorecard,1,6.2
https://www.espncricinfo.com/series/icc-u-19-wc-2017-18-1116872/new-zealand-under-19s-vs-west-indies-under-19s-4th-match-group-a-1116894/full-scorecard,1,45.5
https://www.espncricinfo.com/series/world-t20-2015-16-901359/afghanistan-vs-west-indies-30th-match-super-10-group-1-951365/full-scorecard,2,1.5
https://www.espncricinfo.com/series/under-19-world-cup-2019-20-1204639/south-africa-under-19s-vs-west-indies-under-19s-5th-place-play-off-1204711/full-scorecard,1,37.5
https://www.espncricinfo.com/series/icc-under-19-world-cup-2015-16-949357/india-under-19s-vs-west-indies-under-19s-final-949797/full-scorecard,1,45.1
https://www.espncricinfo.com/series/under-19-world-cup-2019-20-1204639/england-under-19s-vs-west-indies-under-19s-8th-match-group-b-1204682/full-scorecard,1,20.6
https://www.espncricinfo.com/series/icc-under-19-world-cup-2012-526969/india-under-19s-vs-west-indies-under-19s-7th-match-group-c-554523/full-scorecard,1,19.3
https://www.espncricinfo.com/series/under-19-world-cup-2019-20-1204639/england-under-19s-vs-west-indies-under-19s-8th-match-group-b-1204682/full-scorecard,1,7.5
https://www.espncricinfo.com/series/under-19-world-cup-2019-20-1204639/england-under-19s-vs-west-indies-under-19s-8th-match-group-b-1204682/full-scorecard,2,42.3
https://www.espncricinfo.com/series/under-19-world-cup-2019-20-1204639/new-zealand-under-19s-vs-west-indies-under-19s-super-league-quarter-final-2-1204704/full-scorecard,2,15.1
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-warm-up-matches-2021-22-1282497/afghanistan-vs-west-indies-1282512/full-scorecard,1,18.3
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/pakistan-vs-west-indies-2nd-match-1144484/full-scorecard,1,21.4
https://www.espncricinfo.com/series/icc-under-19-world-cup-2013-14-700273/south-africa-under-19s-vs-west-indies-under-19s-4th-match-group-c-700339/full-scorecard,1,47.1
https://www.espncricinfo.com/series/icc-under-19-world-cup-2021-22-1289790/pakistan-under-19s-vs-sri-lanka-under-19s-5th-place-play-off-1289837/full-scorecard,1,47.4
https://www.espncricinfo.com/series/under-19-world-cup-2019-20-1204639/south-africa-under-19s-vs-west-indies-under-19s-5th-place-play-off-1204711/full-scorecard,1,3.3
https://www.espncricinfo.com/series/icc-under-19-world-cup-2021-22-1289790/west-indies-under-19s-vs-australia-under-19s-1st-match-group-d-1289793/full-scorecard,1,7.4
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/bangladesh-vs-west-indies-23rd-match-group-1-1273734/full-scorecard,1,10.6
https://www.espncricinfo.com/series/icc-under-19-world-cup-2015-16-949357/nepal-under-19s-vs-pakistan-under-19s-5th-place-play-off-semi-final-949777/full-scorecard,1,46.4
https://www.espncricinfo.com/series/world-t20-2013-14-628368/sri-lanka-vs-west-indies-1st-semi-final-682961/full-scorecard,2,7.1
https://www.espncricinfo.com/series/icc-under-19-world-cup-2015-16-949357/england-under-19s-vs-west-indies-under-19s-7th-match-group-c-949717/full-scorecard,2,22.3
