#,Name,Role,Jersey No,Rarity,Moment Type,Licensor,Player's Team,Moment Inning,Moment Ball/Over,Team A,Team A Score,Overs,Team B,Team B Score,Overs,Tournament,Date,Match Number,Match Stage,Badges,Moment Description,Moment Commentary,Opposite player name,slugname,2,Photos Comments,Pack Name,ESPN Link, Comments,Description,Photos Checked,Player Level,NFT Quality,NFT Class
1,Ackeem Auguste,Batter,2,Common,Four,ICC,West Indies,1,19.4,West Indies,169/10,40.1,Australia,170/4,44.5,2022 ICC Men's U19 CWC,2022-01-14,1,Group Stage,,Ackeem Auguste finds the perfect elevation as he goes over extra cover on a full length delivery outside off stump from Nivethan Radhakrishnan and gets a four during the first group stage match of the 2022 ICC Men's Under 19 World Cup.,"19.4, N Radhakrishnan to Auguste, FOUR runs Tossed up outside the off stump, drives in the air to the extra cover fence.",Nivethan Radhakrishnan,ackeemauguste1,TRUE,,,https://www.espncricinfo.com/series/icc-under-19-world-cup-2021-22-1289790/west-indies-under-19s-vs-australia-under-19s-1st-match-group-d-1289793/full-scorecard,,,,3,3,Accumulator
2,Andre Fletcher,Batter,72,Rare,Four,ICC,West Indies,2,16.2,Sri Lanka,195/3,20,West Indies,138/8,20,2010 ICC Men's T20 WC,2010-05-07,16,Group Stage,,Andre Fletcher makes full use of the Lasith Malinga full toss and hammers it on to the leg side for a four during the group stage match of the 2010 ICC Men's T20 World Cup.,"16.2, Malinga to Fletcher, FOUR runs An attempted yorker gone wrong, ends up as a low full toss outside leg, dispatched towards cow corner for four",Lasith Malinga,andrefletcher1,TRUE,used action photo,,https://www.espncricinfo.com/series/icc-world-twenty20-2010-412671/west-indies-vs-sri-lanka-16th-match-group-f-412692/full-scorecard,,,,3,3,Hitter
3,Colin Ingram,Batter,41,Common,Four,ICC,South Africa,1,27.2,South Africa,272/7,50,Ireland,141/10,33.2,2011 ICC Men's CWC,2011-03-15,34,Group Stage,,Colin Ingram advances and excellently times the full length delivery from John Mooney and plays it in the gap between extra cover and mid off for a four during the group stage match of the 2011 ICC Men's Cricket World Cup.,"27.2, Mooney to Ingram, FOUR runs He comes forward and gets the drive in the gap between extra cover and mid off, first boundary in ages",John Mooney,coliningram1,TRUE,used action photo,,https://www.espncricinfo.com/series/icc-cricket-world-cup-2010-11-381449/ireland-vs-south-africa-34th-match-group-b-433591/full-scorecard,,,,3,3,Hitter
4,Corbin Bosch,Batter,14,Common,Four,ICC,South Africa,1,32.6,South Africa,198/9,50,West Indies,104/10,35.2,2014 ICC Men's U19 CWC,2014-02-14,4,Group Stage,"[""CHAMP_TEAM""]",Corbin Bosch makes just the connection that the angling delivery from Preston McSween needed and plays it towards the fine leg fence for a four during the group stage match of the 2014 ICC Men's Under 19 World Cup.,"32.6, McSween to Bosch, FOUR runs Tickles it fine to the fence for a boundary.",Preston McSween ,corbinbosch1,TRUE,,,https://www.espncricinfo.com/series/icc-under-19-world-cup-2013-14-700273/south-africa-under-19s-vs-west-indies-under-19s-4th-match-group-c-700339/full-scorecard,,,,3,4,Dibbly Dobbly
5,Devon Thomas,Wk-Batter,38,Common,Four,ICC,West Indies,2,14.6,England,243/10,48.4,West Indies,225/10,44.4,2011 ICC Men's CWC,2011-03-17,36,Group Stage,,Great use of the feet and the wrists by Devon Thomas as he places a fullish delivery from James Tredwell into the gap for a four during the group stage match of the 2011 ICC Men's Cricket World Cup.,"14.6, Tredwell to Thomas, FOUR runs Wow, maybe this is why he's been promoted! Thomas stretches across to the off side and whips his wrists at the ball, pings off the bat, wide of long-on and races away for four. What placement!",James Tredwell,devonthomas1,TRUE,used portrait,,https://www.espncricinfo.com/series/icc-cricket-world-cup-2010-11-381449/england-vs-west-indies-36th-match-group-b-433593/full-scorecard,,,,3,3,Accumulator
7,Hayden Walsh Jr.,Bowler,86,Common,Wicket,ICC,West Indies,2,11.5,West Indies,130/7,20,Pakistan,131/3,15.3,2021 ICC Men's T20 WC Warm Up Matches,2021-10-18,9,Warm Up ,,Excellent spin bowling on display from Hayden Walsh as he beats the edge of Babar Azam's bat who advances but completely misses only to be stumped easily by the keeper during the group stage match of the 2021 ICC Men's T20 Warm Up matches.,"11.5, st †Pooran b Walsh",Babar Azam,haydenwalshjr1,TRUE,,,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-warm-up-matches-2021-22-1282497/pakistan-vs-west-indies-1282510/full-scorecard,,,,3,2,Spinner
8,Imad Wasim,All Rounder,9,Common,Wicket,ICC,Pakistan,1,8.2,New Zealand,134/8,20,Pakistan,135/5,18.4,2021 ICC Men's T20 WC,2021-10-26,19,Group Stage,,A straighter one from Imad Wasim gets the better of Daryl Mitchell who goes for the big shot but ends up lofting it straight into the hands of long on during the group stage match of the 2021 ICC Men's T20 World Cup.,"8.2, Imad Wasim to Mitchell, OUT this is the shot of a man who knows his time in the middle is done according to the tactics and he either hit out or get out. He tries it first ball, he tries it next ball too. This one is straighter so he takes on long-on this time. Finds the man to perfection",Daryl Mitchell ,imadwasim1,TRUE,,,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/new-zealand-vs-pakistan-19th-match-group-2-1273730/full-scorecard,,,,2,4,Pie Chucker
9,Izharulhaq Naveed,All Rounder,21,Common,Six,ICC,Afghanistan,2,41.3,Pakistan,239/9,50,Afghanistan,215/9,50,2022 ICC Men's U19 CWC,2022-01-20,18,Group Stage,,Izharulhaq Naveed muscles the wide delivery from Qasim Akram over the head of the fielder at long on for a six during the group stage match of the 2022 ICC Men's Under 19 World Cup.,"41.3, Qasim Akram to Izharulhaq Naveed, SIX runs Tossed up, outside off, came down the wicket and flat hit over long-off fence for a big six",Qasim Akram,izharulhaqnaveed1,TRUE,,,https://www.espncricinfo.com/series/icc-under-19-world-cup-2021-22-1289790/afghanistan-under-19s-vs-pakistan-under-19s-18th-match-group-c-1289810/full-scorecard,,,,3,2,Hitter
11,Jayden Seales,Bowler,9,Common,Wicket,ICC,West Indies,1,6.2,South Africa,143/10,38.2,West Indies,147/6,41.4,2020 ICC Men's U19 CWC,2020-02-01,5,Group Stage,,Jayden Seales bangs it in short and generates the extra bounce to induce an edge off the bat of Bryce Parsons who is caught behind during the group stage match of the 2020 ICC Men's Under 19 World Cup.,"6.2, Seales to B Parsons, OUT",Bryce Parsons,jaydenseales1,TRUE,,,https://www.espncricinfo.com/series/under-19-world-cup-2019-20-1204639/south-africa-under-19s-vs-west-indies-under-19s-5th-place-play-off-1204711/full-scorecard,,,,3,3,Work Horse
12,Jeavor Royal,Batter,12,Common,Four,ICC,West Indies,1,45.5,West Indies,233/8,50,New Zealand,234/2,39.3,2018 ICC Men's U19 CWC,2018-01-13,4,Group Stage,,Smart batting from Jeavor Royal as he makes full use of the extra pace and bounce offered by Matthew Fisher and upper cuts the ball for a four down third man during the group stage match of the 2018 ICC Men's Under 19 World Cup.,"45.5, Fisher to Royal, FOUR runs",Matthew Fisher,jeavorroyal1,TRUE,used portrait,,https://www.espncricinfo.com/series/icc-u-19-wc-2017-18-1116872/new-zealand-under-19s-vs-west-indies-under-19s-4th-match-group-a-1116894/full-scorecard,,,,3,3,Work Horse
